User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
 ur14316910   ,0.54,0.35,0.51,0.09,0.51,0.25,0.17,0.6,0.67,0.32
 ur66202460   ,0.69,0.5,0.72,0.42,0.43,0.92,0.84,0.5,0.95,0.61
 ur26853876   ,0.15,0.57,0.3,0.01,0.04,0.22,0.42,0.39,0.18,0.26
 ur41723345   ,0.13,0.37,0.6,0,0,0.27,0.13,0.1,0.35,0.36
 ur25829274   ,0.59,0.84,0.66,0.44,0.11,0.31,0.11,0.02,0.14,0.05
 ur2874598   ,0.08,0.37,0.55,0.07,0.04,0.27,0.1,0.14,0.53,0.43
 ur31623548   ,0.09,0.34,0.81,0.01,0.02,0.18,0.09,0.09,0.38,0.29
 ur24834382   ,0.18,0.24,0.4,0.01,0.04,0.52,0.42,0.87,0.82,0.8
 ur35725947   ,0.42,0.2,0.94,0.21,0.38,0.14,0.18,0.2,0.36,0.25
 ur55607018   ,0.25,0.09,0.87,0.06,0.26,0.41,0.14,0.34,0.92,0.45
 ur56662111   ,0.44,0.24,0.3,0.58,0.15,0.2,0.02,0.25,0.16,0.48
 ur4108130   ,0.04,0.1,0.36,0.35,0.27,0.31,0.44,0.11,0.35,0.56
 ur56358608   ,0.3,0.32,0.88,0.08,0.17,0.16,0.12,0.2,0.48,0.39
 ur29754127   ,0.84,0.9,0.78,0.59,0.26,0.49,0.19,0.14,0.31,0.1
 ur50879282   ,,,,,,,,,,
 ur33658484   ,0.68,0.61,0.6,0.09,0.36,0.23,0.09,0.78,0.77,0.64
 ur5913335   ,0.3,0.2,0.3,0.42,0.24,0.38,0.02,0.24,0.28,0.57
 ur4248714   ,0.15,0.11,0.57,0,0.18,0.07,0.53,0.26,0.27,0.33
 ur35838387   ,0.47,0.75,0.73,0.46,0.32,0.28,0.15,0.38,0.55,0.53
 ur32222059   ,0.61,0.43,0.48,0.06,0.39,0.33,0.64,0.69,0.39,0.3
 ur69315413   ,0.21,0.12,0.5,0.57,0.72,0.51,0.37,0.33,0.48,0.5
 ur30893627   ,0.03,0.22,0.95,0.18,0.14,0.38,0.24,0.01,0.35,0.26
 ur2790158   ,0.27,0.33,0.41,0.06,0.34,0.17,0.05,0.38,0.22,0.37
 ur66594784   ,0.69,0.76,0.7,0.37,0.22,0.44,0.08,0.36,0.59,0.29
 ur46444964   ,0.42,0.62,0.99,0.57,0.4,0.21,0.09,0.26,0.4,0.32
 ur60505447   ,0.55,0.75,0.07,0.02,0.02,0.48,0.49,0.42,0.45,0.48
 ur22722270   ,0.26,0.35,0.96,0.33,0.36,0.53,0.35,0.07,0.47,0.31
 ur35510134   ,0.07,0.35,0.51,0.03,0,0.35,0.3,0.15,0.75,0.43
 ur33075259   ,0.13,0.05,0.13,0.25,0.61,0.97,0.92,0.64,0.96,0.92
 ur61001312   ,0.03,0.18,0.74,0.63,0.31,0.67,0.56,0.08,0.76,0.74
 ur19965953   ,0.13,0.3,0.66,0.14,0.09,0.46,0.17,0.16,0.59,0.44
 ur44642398   ,0.22,0.28,0.44,0.35,0.28,0.46,0.14,0.17,0.38,0.41
 ur68895441   ,0.11,0.21,0.3,0.05,0.27,0.49,0.25,0.38,0.66,0.44
 ur64906105   ,0.92,0.67,1,0.35,0.6,0.27,0.58,0.29,0.16,0.06
 ur56097358   ,0.03,0.22,0.81,0.08,0.09,0.35,0.2,0.05,0.65,0.49
 ur54352052   ,0.26,0.27,0.75,0.9,0.35,1,0.99,0.21,0.78,0.95
 ur33076595   ,0.16,0.28,0.62,0.06,0.16,0.44,0.43,0.17,0.44,0.3
 ur55779328   ,0.21,0.26,0.35,0.17,0.47,0.67,0.46,0.32,0.69,0.37
 ur23944958   ,0.82,0.7,0.67,0.49,0.75,0.29,0.22,0.3,0.11,0.21
 ur1006913   ,0.4,0.63,0.89,0.62,0.32,0.11,0.07,0.05,0.1,0.27
 ur60618390   ,0.49,0.51,0.41,0.31,0.25,0.28,0.15,0.06,0.22,0.26
 ur64761116   ,0.39,0.11,0.26,0.39,0.42,0.39,0.18,0.4,0.39,0.69
 ur0375636   ,0.14,0.55,0.88,0.37,0.06,0.08,0.03,0.03,0.09,0.18
 ur49583551   ,0.41,0.51,0.9,0.04,0.15,0.32,0.4,0.34,0.55,0.34
 ur50294940   ,0.77,0.96,0.7,0.41,0.2,0.02,0.05,0.51,0.11,0.48
 ur36977214   ,0.45,0.53,0.85,0.64,0.24,0.83,0.37,0.09,0.49,0.17
 ur4935461   ,0.36,0.44,0.97,0.04,0.23,0.33,0.5,0.08,0.11,0.1
 ur63827208   ,0.76,0.9,0.76,0.65,0.28,0.22,0.27,0.43,0.79,0.42
 ur25997566   ,,,,,,,,,,
 ur59219310   ,0.74,0.85,0.98,0.92,0.69,0.33,0.24,0.1,0.19,0.1
 ur4828882   ,0.59,0.62,0.79,0.22,0.13,0.33,0.17,0.21,0.63,0.41
 ur20992348   ,0.92,0.94,0.69,0.52,0.82,0.04,0.17,0.86,0.07,0.28
 ur11566114   ,0.68,0.51,1,0.19,0.29,0.51,0.34,0.01,0.46,0.07
 ur64099200   ,0.71,0.44,0.89,0.17,0.24,0.21,0.17,0.08,0.29,0.1
 ur0989035   ,0.33,0.45,0.93,0.9,0.75,0.26,0.24,0.11,0.24,0.33
 ur35955842   ,0.19,0.24,0.3,0.34,0.25,0.31,0.14,0.03,0.22,0.31
 ur31522956   ,0.09,0.15,0.09,0.09,0.2,0.18,0.13,0.49,0.63,0.55
 ur30724316   ,0.55,0.4,0.77,0.16,0.3,0.35,0.25,0.39,0.78,0.42
 ur24426762   ,,,,,,,,,,
 ur58233481   ,0.26,0.28,0.05,0.34,0.65,0.07,0.1,0.53,0.32,0.47
 ur52503431   ,0.21,0.12,0.48,0.34,0.28,0.47,0.51,0.17,0.38,0.58
 ur14509461   ,0.44,0.23,0.99,0.31,0.27,0.7,0.65,0.21,0.87,0.27
 ur67708633   ,0.67,0.7,0.97,0.43,0.53,0.14,0.33,0.23,0.35,0.12
 ur35981906   ,0.74,0.57,0.78,0.16,0.16,0.43,0.27,0.11,0.19,0.05
 ur45912144   ,0.37,0.61,0.88,0.58,0.2,0.77,0.7,0.29,0.66,0.53
 ur48142738   ,0.86,0.83,0.85,0.38,0.51,0.14,0.07,0.1,0.05,0.16
 ur23740398   ,0.28,0.18,0.25,0.41,0.24,0.41,0.05,0.25,0.3,0.59
 ur43502679   ,0.43,0.32,0.56,0.04,0.25,0.32,0.2,0.38,0.56,0.31
 ur25609470   ,0.17,0.32,0.59,0.23,0.23,0.62,0.44,0.09,0.42,0.43
 ur57511315   ,0.49,0.46,0.45,0.25,0.23,0.65,0.23,0.15,0.65,0.3
 ur45653471   ,0.61,0.47,0.97,0.81,0.72,0.28,0.44,0.34,0.18,0.09
 ur60028700   ,0.09,0.35,0.88,0.61,0.52,0.37,0.38,0.13,0.46,0.41
 ur59493420   ,0.77,0.6,0.4,0.84,0.95,0.63,0.62,0.85,0.37,0.44
 ur27367887   ,0.09,0.31,0.96,0.26,0.11,0.5,0.39,0.03,0.42,0.41
 ur20327151   ,0.27,0.18,0.25,0.03,0.01,0.42,0.02,0.34,0.85,0.48
 ur41107215   ,0.15,0.36,0.94,0.07,0.09,0.24,0.46,0.08,0.22,0.28
 ur61622908   ,0.23,0.36,0.48,0.07,0.48,0.53,0.57,0.62,0.36,0.46
 ur22920280   ,0.88,0.66,0.84,0.59,0.51,0.57,0.52,0.49,0.69,0.22
 ur60226801   ,0.27,0.25,0.24,0.43,0.26,0.45,0.15,0.24,0.33,0.6
 ur25254536   ,0.13,0.3,0.49,0.07,0.16,0.34,0.12,0.24,0.57,0.38
 ur12752288   ,0.55,0.4,0.66,0.29,0.38,0.29,0.13,0.48,0.25,0.2
 ur2121650   ,0.26,0.17,0.28,0.32,0.28,0.43,0.06,0.15,0.36,0.36
 ur1697212   ,0.67,0.52,0.91,0.39,0.56,0.23,0.44,0.22,0.24,0.22
 ur47181147   ,0.38,0.25,0.27,0.05,0.56,0.2,0.14,0.89,0.63,0.41
 ur32326145   ,0.22,0.1,0.2,0.04,0.27,0.65,0.16,0.68,0.61,0.9
 ur23583286   ,0.29,0.37,0.46,0.03,0.02,0.26,0.26,0.29,0.37,0.31
 ur24114031   ,0.94,0.72,0.74,0.55,0.27,0.43,0.29,0.58,0.76,0.28
 ur29893541   ,0.56,0.79,0.85,0.67,0.07,0.66,0.24,0.03,0.52,0.1
 ur35760218   ,0.83,0.9,0.83,0.64,0.41,0.07,0.08,0.2,0.14,0.2
 ur65326486   ,0.15,0.68,0.8,0.14,0.02,0.07,0.02,0.18,0.28,0.19
 ur2745984   ,0.73,0.77,0.71,0.56,0.84,0.1,0.18,0.85,0.45,0.49
 ur3146136   ,0.13,0.58,0.95,0.2,0.01,0.29,0.18,0.01,0.31,0.1
 ur61307586   ,0.12,0.37,0.85,0.19,0.88,0.07,0.65,0.16,0.01,0.34
 ur11824085   ,0.57,0.56,0.83,0.29,0.1,0.4,0.16,0.12,0.36,0.05
 ur32284034   ,0.4,0.5,0.53,0.23,0.49,0.36,0.38,0.58,0.45,0.32
 ur57622713   ,0.06,0.1,0.57,0.07,0.22,0.35,0.42,0.29,0.63,0.63
 ur49443666   ,0.28,0.18,0.76,0.17,0.25,0.76,0.4,0.28,0.86,0.48
 ur47814173   ,0.33,0.12,0.41,0.52,0.26,0.33,0.01,0.25,0.34,0.46
 ur23483288   ,0.54,0.57,0.98,0.36,0.18,0.35,0.41,0.09,0.62,0.21
 ur49204805   ,0.68,0.46,0.49,0.3,0.55,0.49,0.17,0.44,0.52,0.29
 ur24390444   ,0.02,0.07,0.99,0.15,0.01,0.36,0.22,0.01,0.53,0.38
 ur35235050   ,0.19,0.3,0.35,0.04,0.14,0.3,0.12,0.62,0.69,0.4
 ur49074014   ,0.83,0.63,0.95,0.05,0.29,0.07,0.06,0.55,0.68,0.25
 ur24122301   ,0.42,0.3,0.47,0.05,0.62,0.59,0.39,0.78,0.66,0.62
 ur51254988   ,0.1,0.31,0.92,0.2,0.15,0.37,0.39,0.03,0.46,0.34
 ur41440152   ,0.16,0.71,0.55,0.01,0.08,0.03,0.08,0.53,0.52,0.52
 ur24674304   ,0.13,0.23,0.77,0.29,0.3,0.46,0.27,0.12,0.36,0.37
 ur38863575   ,0.29,0.14,0.23,0.09,0.2,0.36,0.33,0.47,0.71,0.52
 ur65980536   ,0.26,0.51,0.54,0.53,0.46,0.45,0.37,0.61,0.74,0.74
 ur59982405   ,0.15,0.17,0.22,0.14,0.28,0.56,0.27,0.52,0.8,0.78
 ur22648619   ,0.2,0.42,0.89,0.15,0.02,0.57,0.06,0.05,0.54,0.25
 ur35247235   ,0.52,0.61,0.98,0.68,0.11,0.37,0.2,0.14,0.91,0.31
 ur5408756   ,0.04,0.57,0.89,0.14,0,0.57,0.14,0.01,0.73,0.55
 ur26542405   ,0.27,0.44,0.3,0.05,0.14,0.36,0.1,0.54,0.49,0.34
ur29615467,0.25,0.24,0.3,0.38,0.26,0.44,0.08,0.2,0.34,0.54
 ur55454411   ,0.54,0.64,1,0.75,0.54,0.42,0.3,0.01,0.14,0.07
 ur24981611   ,0.54,0.67,0.6,0.24,0.17,0.58,0.05,0.08,0.35,0.29
 ur40818824   ,0.04,0.19,0.27,0.01,0.04,0.44,0.16,0.3,0.46,0.52
 ur63777812   ,0.21,0.34,0.94,0.22,0.36,0.61,0.41,0.12,0.5,0.21
 ur0011762   ,0.31,0.84,0.91,0,0,0.07,0.07,0.07,0.3,0.13
 ur5947074   ,0.35,0.36,0.88,0.24,0.28,0.45,0.49,0.18,0.47,0.39
 ur62113239   ,0.21,0.53,0.06,0.01,0.06,0.41,0.58,0.43,0.54,0.67
 ur64379430   ,0.37,0.84,0.95,0.15,0.07,0.27,0.25,0.25,0.35,0.62
 ur28047118   ,0.25,0.11,0.35,0.04,0.67,0.18,0.06,0.71,0.62,0.39
 ur60314327   ,0.6,0.63,0.1,0.05,0.26,0.42,0.45,0.97,0.58,0.55
 ur60035891   ,0.06,0.31,0.77,0.05,0.03,0.21,0.26,0.15,0.16,0.32
 ur52935430  ,0.56,0.2,0.01,0.03,0.37,0.31,0.32,0.97,0.55,0.88
 ur19117722  ,0.38,0.2,0.97,0.11,0.18,0.33,0.18,0.15,0.66,0.21
 ur64412390  ,0.22,0.15,0.99,0.13,0.14,0.61,0.4,0.13,0.83,0.3
 ur10919398   ,0.7,0.81,0.6,0.33,0.38,0.13,0.18,0.61,0.6,0.45
 ur10919398  ,0.7,0.81,0.6,0.33,0.38,0.13,0.18,0.61,0.6,0.45
 ur56723144  ,0.08,0.36,0.92,0.15,0.04,0.57,0.31,0.02,0.52,0.37
 ur2527893  ,0.65,0.82,0.45,0.73,0.45,0.14,0.45,0.29,0.07,0.12
 ur44174714  ,0.5,0.16,0.68,0.9,0.62,0.72,0.9,0.38,0.26,0.48
 ur27147194  ,0.49,0.61,0.84,0.36,0.15,0.49,0.2,0.18,0.64,0.29
 ur36063407  ,0.69,0.84,0.74,0.94,0.39,0.34,0.14,,0.31,0.14
 ur67752685  ,0.91,0.75,0.72,0.56,0.73,0.63,0.59,0.59,0.35,0.26
 ur65365385  ,0.14,0.15,0.16,0.23,0.43,0.67,0.58,0.26,0.47,0.65
 ur65098182  ,0.03,0.28,0.61,0.31,0.07,0.92,0.7,0.07,0.8,0.85
 ur9021307  ,0.31,0.32,0.58,0.36,0.48,0.51,0.33,0.29,0.51,0.48
 ur53076529  ,0.16,0.33,0.77,0.28,0.25,0.34,0.13,0.07,0.32,0.27
 ur69083052  ,0.76,0.72,0.85,0.71,0.52,0.7,0.43,0.32,0.51,0.13
 ur22846063  ,0.36,0.46,0.41,0.13,0.12,0.25,0.04,0.38,0.73,0.49
 ur68536496  ,0.04,0.24,0.86,0.32,0.09,0.24,0.16,0.05,0.25,0.34
 ur69162419  ,0.23,0.44,0.16,0,0.03,0.26,0.18,0.65,0.32,0.37
 ur15661873  ,0.04,0.21,0.74,0.1,0.21,0.46,0.49,0.04,0.18,0.37
 ur38668357  ,0.39,0.22,0.62,0.41,0.73,0.47,0.37,0.39,0.69,0.52
 ur64336240  ,0.26,0.21,0.31,0.27,0.27,0.41,0.09,0.12,0.35,0.4
 ur59840428  ,0.18,0.27,0.51,0.01,0.01,0.09,0.11,0.12,0.51,0.47
 ur24275591  ,0.41,0.5,0.52,0.65,0.45,0.37,0.4,0.31,0.7,0.46
 ur55787487  ,0.07,0.31,0.53,0.02,0.06,0.65,0.3,0.12,0.28,0.5
 ur46088658  ,0.26,0.25,0.46,0.09,0.25,0.32,0.17,0.59,0.87,0.46
 ur47633581  ,0.43,0.7,0.64,0.09,0.1,0.74,0.27,0.23,0.4,0.26
 ur50856298  ,0.21,0.62,0.29,0,0.03,0.33,0.47,0.43,0.33,0.35
 ur39209507  ,0.15,0.15,0.05,0.16,0.19,0.38,0.11,0.72,0.6,0.58
 ur69492100  ,0.97,0.94,0.37,0.41,0.85,0.35,0.27,0.99,0.91,0.9
 ur64352682  ,0.54,0.6,0.71,0.69,0.56,0.36,0.39,0.26,0.24,0.2
 ur56298381  ,0.24,0.12,0.07,0.02,0.31,0.5,0.29,0.9,0.87,0.68
 ur50146734  ,0.26,0.11,0.22,0.4,0.27,0.41,0,0.22,0.37,0.48
 ur69526355  ,0.02,0.15,0.54,0.23,0.06,0.79,0.42,0.19,0.94,0.88
 ur37842635  ,0.32,0.22,0.61,0.1,0.36,0.4,0.37,0.46,0.76,0.5
 ur67779856  ,0.9,0.9,0.79,0.61,0.62,,0.6,0.26,0.06,0.06
 ur38596256  ,0.72,0.27,0.98,0.63,0.97,0.98,0.96,0.39,0.27,0.21